Title,Link,Year,Rating_Classification,Total_Ratings,Critic_Score,Audience_Score,Genre,Director,Runtime
The Lord of the Rings: The Return of the King,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king,2003,PG-13,250000,94,86,Fantasy,Peter Jackson,250
A Night at the Opera,https://www.rottentomatoes.com/m/1015002-night_at_the_opera,1935,Not Rated,10000,97,90,Comedy,Sam Wood,93
Halloween,https://www.rottentomatoes.com/m/1009113-halloween,1978,R,250000,97,89,Holiday,John Carpenter,91
Air,https://www.rottentomatoes.com/m/air_2023,2023,R,2500,93,98,Drama,Ben Affleck,112
The Sweet Hereafter,https://www.rottentomatoes.com/m/sweet_hereafter,1997,R,10000,98,86,Drama,Atom Egoyan,110
Playtime,https://www.rottentomatoes.com/m/playtime,1973,Not Rated,5000,98,89,Comedy,Jacques Tati,93
True Grit,https://www.rottentomatoes.com/m/true_grit_2010,2010,PG-13,100000,95,85,Western,Joel Coen,110
A Quiet Place,https://www.rottentomatoes.com/m/a_quiet_place_2018,2018,PG-13,25000,96,83,Horror,John Krasinski,90
Mudbound,https://www.rottentomatoes.com/m/mudbound,2017,R,5000,97,85,History,Dee Rees,134
Boyz N the Hood,https://www.rottentomatoes.com/m/boyz_n_the_hood,1991,R,100000,96,93,Drama,John Singleton,112
Brazil,https://www.rottentomatoes.com/m/1003033-brazil,1985,R,100000,98,90,Comedy,Terry Gilliam,142
Hidden Figures,https://www.rottentomatoes.com/m/hidden_figures,2017,PG,50000,93,93,History,Theodore Melfi,127
