Title,Link,Year,Rating_Classification,Total_Ratings,Average_Rating,Director,Runtime,Genre
All About Eve,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_139,1950,Approved,143000,8.2,Joseph L. Mankiewicz,138,Showbiz Drama
There Will Be Blood,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_140,2007,R,659000,8.2,Paul Thomas Anderson,158,Epic
Jurassic Park,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_141,1993,PG-13,1100000,8.2,Steven Spielberg,127,Dinosaur Adventure
Casino,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_142,1995,R,581000,8.2,Martin Scorsese,178,Docudrama
The Sixth Sense,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_143,1999,PG-13,1100000,8.2,M. Night Shyamalan,107,Psychological Drama
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_144,2022,PG-13,749000,8.2,Joseph Kosinski,130,Action Epic
Ran,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_145,1985,R,141000,8.2,Akira Kurosawa,160,Samurai
No Country for Old Men,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_146,2007,R,1100000,8.2,Ethan Coen,122,Contemporary Western
Pan's Labyrinth,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_147,2006,R,717000,8.2,Guillermo del Toro,118,Coming-of-Age
The Thing,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_148,1982,R,487000,8.2,John Carpenter,109,Alien Invasion
Unforgiven,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_149,1992,R,447000,8.2,Clint Eastwood,130,Period Drama
A Beautiful Mind,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_150,2001,PG-13,1000000,8.2,Ron Howard,135,Docudrama
Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_151,2003,R,1200000,8.2,Quentin Tarantino,111,Martial Arts
The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_152,1948,Approved,136000,8.2,John Huston,126,Tragedy
Yojimbo,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_153,1961,Not Rated,136000,8.2,Akira Kurosawa,110,One-Person Army Action
